diameter,height,shucked_weight,shell_weight,rings,sex_F,sex_M
0.365,0.095,0.2245,0.15,15,0,1
0.265,0.09,0.0995,0.07,7,0,1
0.42,0.135,0.2565,0.21,9,1,0
0.365,0.125,0.2155,0.155,10,0,1
0.255,0.08,0.0895,0.055,7,0,0
0.3,0.095,0.141,0.12,8,0,0
0.415,0.15,0.237,0.33,20,1,0
0.425,0.125,0.294,0.26,16,1,0
0.37,0.125,0.2165,0.165,9,0,1
0.44,0.15,0.3145,0.32,19,1,0
0.38,0.14,0.194,0.21,14,1,0
0.35,0.11,0.1675,0.135,10,0,1
0.38,0.135,0.2175,0.19,11,0,1
0.405,0.145,0.2725,0.205,10,1,0
0.355,0.1,0.1675,0.185,10,1,0
0.4,0.13,0.258,0.24,12,0,1
0.28,0.085,0.095,0.115,7,0,0
0.34,0.1,0.188,0.13,10,1,0
0.295,0.08,0.097,0.1,7,0,1
0.32,0.1,0.1705,0.115,9,0,1
0.28,0.095,0.0955,0.075,11,0,1
0.275,0.1,0.08,0.085,10,0,0
0.44,0.155,0.4275,0.27,12,1,0
0.415,0.135,0.318,0.2,9,1,0
0.48,0.165,0.513,0.305,10,1,0
0.44,0.14,0.3825,0.3,11,1,0
0.45,0.185,0.3945,0.285,11,1,0
0.445,0.14,0.356,0.28,12,0,1
0.475,0.18,0.394,0.295,15,0,1
0.425,0.14,0.393,0.2,11,0,1
0.47,0.165,0.3935,0.33,10,0,1
0.56,0.165,0.6055,0.46,15,1,0
0.525,0.165,0.5515,0.35,18,0,1
0.55,0.175,0.815,0.455,19,1,0
0.55,0.2,0.633,0.49,13,1,0
0.355,0.105,0.227,0.125,8,0,1
0.475,0.155,0.5305,0.34,16,1,0
0.355,0.105,0.237,0.145,8,1,0
0.445,0.135,0.381,0.26,11,1,0
0.29,0.09,0.134,0.09,9,0,1
0.335,0.105,0.1865,0.115,9,1,0
0.425,0.135,0.362,0.27,14,1,0
0.175,0.045,0.0315,0.02,5,0,0
0.15,0.055,0.0255,0.012,5,0,0
0.15,0.05,0.0175,0.015,4,0,0
0.295,0.095,0.0875,0.075,7,0,0
0.37,0.12,0.293,0.14,9,0,1
0.375,0.12,0.1775,0.15,7,1,0
0.245,0.07,0.0755,0.045,6,0,0
0.425,0.16,0.3545,0.245,9,1,0
0.41,0.12,0.2385,0.19,8,0,0
0.32,0.095,0.1335,0.1,7,0,1
0.36,0.13,0.2595,0.16,10,0,1
0.36,0.12,0.2105,0.15,10,1,0
0.31,0.1,0.173,0.11,7,0,1
0.4,0.14,0.2565,0.22,8,1,0
0.35,0.12,0.192,0.135,8,0,1
0.385,0.135,0.2765,0.17,8,0,1
0.19,0.06,0.042,0.025,4,0,0
0.4,0.125,0.246,0.175,7,1,0
0.345,0.105,0.18,0.135,7,0,1
0.405,0.11,0.305,0.175,9,0,1
0.41,0.13,0.302,0.2,10,1,0
0.325,0.095,0.1705,0.1,7,0,1
0.4,0.12,0.234,0.185,8,0,1
0.355,0.12,0.234,0.135,8,0,1
0.44,0.16,0.354,0.32,12,1,0
0.495,0.185,0.416,0.485,13,1,0
0.39,0.12,0.2135,0.17,10,1,0
0.235,0.07,0.063,0.045,6,0,0
0.425,0.13,0.264,0.275,13,0,1
0.32,0.11,0.1405,0.1,8,1,0
